Rank,TeamId,TeamName,LastSubmissionDate,Score,SubmissionCount,TeamMemberUserNames
1,10754222,"Lucky shake","2023-10-09 09:20:39",0.45181,20,"anastasiajia,cynthiawu0,freesoul01,itsmeanszao"
2,10675000,"Ivan Aerlic","2023-10-11 08:11:45",0.45385,193,ivanaerlic
3,10678218,"Dmitrii Krasnov","2023-09-11 23:34:41",0.45427,118,koba35
4,10726220,kuromajin,"2023-10-11 14:07:05",0.45515,387,"chumajin,kurokurob"
5,10675525,monnu,"2023-10-11 05:43:44",0.45584,90,fuumin621
6,10989630,Leonard761,"2023-10-11 09:08:15",0.45602,27,"alexander956,gilbert56,leonard761,wangzizhuocn,yuoooo"
7,10708302,"Ethan & Ria","2023-10-11 14:41:51",0.45620,192,"chenxin1991,emiria"
8,10726831,"Adam Montgomerie","2023-09-23 11:28:37",0.45706,91,amontgomerie
9,10674642,[Rist]Takoi,"2023-10-11 02:53:26",0.45750,171,takoihiraokazu
10,10817154,"one model","2023-10-11 12:13:25",0.45769,123,"leehann,madelynpy,meiliwu,xingranwang52"
11,10796316,"Barton Fink","2023-10-11 13:38:08",0.45806,353,"aman1391,fightingmuscle,phoenix9032,ragnar123,rashmibanthia"
12,10686985,htsbrer,"2023-10-11 13:26:15",0.45828,97,ht5brer
13,10768962,"souhei o","2023-10-11 15:24:38",0.45831,27,souheiomagari
14,10790526,"Peng Sun","2023-10-11 14:45:42",0.45845,46,penpen926
15,10716947,"Team Hydrogen","2023-10-11 13:37:08",0.45845,194,"ilu000,philippsinger,ybabakhin"
16,10674602,Int8(∞),"2023-10-11 14:17:38",0.45857,206,"conjuring92,shinomoriaoshi,syhens"
17,10764086,yamash,"2023-10-11 12:48:50",0.45971,220,yamash73
18,10680118,"Toan Do","2023-08-16 17:08:52",0.46107,25,dvtoan7997
19,10676170,takai380&pao,"2023-10-11 14:52:51",0.46114,228,"go5kuramubon,takai380"
20,10808120,Moro,"2023-10-11 14:51:18",0.46135,70,moromoromoro
21,10678481,hisariki,"2023-10-11 15:12:49",0.46163,70,tasukukuriki
22,10735593,"Jash Dalvi","2023-10-10 22:21:51",0.46220,86,"aaryakgarg,jashdalvi99,shreyasadhari123"
23,10678580,Catch_Bat,"2023-10-11 14:32:46",0.46241,92,"abel4260,alexia0361,allenoops,catchbat"
24,10680186,Jie&yyykrk,"2023-10-11 05:47:27",0.46315,249,"lftuwujie,yyykrk"
25,10718735,nogawanogawa,"2023-10-11 13:08:36",0.46320,157,tsunotsuno
26,10801085,Napoleon99,"2023-10-11 04:31:34",0.46371,21,"clarence11,liuhaonan27,losszz,napoleon99,theori"
27,10811073,"I & M & M & R & C","2023-10-11 16:57:50",0.46406,211,"cody11null,ihebch,ivanisaev,mohammad2012191,muhammad4hmed"
28,10791243,rfbr,"2023-10-08 22:00:20",0.46423,45,romainfabre
29,10675265,"Yusuke Nakayama","2023-10-11 15:15:47",0.46462,405,nakayamar
30,10684405,Yazhini,"2023-10-11 16:56:07",0.46464,170,yazhinisp
31,10679586,Kirobrine,"2023-10-08 09:11:00",0.46486,120,daihengwei
32,10692604,Malkovi,"2023-10-11 13:59:17",0.46569,52,raki21
33,10791104,Jinstyn_Yu,"2023-10-10 15:54:11",0.46576,205,"aaron20221114,derekjjj,hannahcheung001,justinaya,lenny99"
34,10982077,Kohei,"2023-10-11 15:51:43",0.46637,56,confirm
35,10676887,"Machine not Learning","2023-10-11 07:52:24",0.46637,180,"chaudharypriyanshu,penpentled,shigeria,snorfyang,takanashihumbert"
36,10699497,好运连连,"2023-10-11 10:24:25",0.46647,186,"hookman,sayoulala,syzong,tilbur,zui0711"
37,10676747,ln,"2023-10-10 09:31:28",0.46701,70,nazarov
38,10681245,HJ,"2023-08-05 17:04:55",0.46741,17,okayhj
39,10721016,HarshitMehta,"2023-10-11 23:00:36",0.46769,201,harshit92
40,10674651,mihtw,"2023-10-03 19:13:36",0.46819,149,mihtw1
41,10674664,shirahama,"2023-10-11 06:01:44",0.46832,29,shairahama
42,10743093,Lawliet,"2023-10-11 00:16:46",0.46835,73,luki493
43,10798374,stakahashi,"2023-10-03 12:58:17",0.46883,24,shutotakahashi
44,10676418,seniorpine,"2023-10-11 13:44:58",0.46897,128,seniorpine
45,10687365,derection,"2023-10-11 16:56:40",0.46923,112,"derection1,wangzhigang1,wanzgwjy"
46,10819112,T_MS,"2023-10-08 13:46:57",0.46937,72,tmsuika
47,10677148,M1stiC,"2023-10-11 17:07:19",0.46938,51,mujian63
